YearAdj,Season,Date,Outflow,Export,X2,TotalUSGSOutflow,CacheFlow
1975,Winter,1974-12-01,28288,3576,67.4648954061399,NA,NA
1975,Winter,1974-12-02,29564,2549,66.8064473169089,NA,NA
1975,Winter,1974-12-03,42109,1600,65.9691199688463,NA,NA
1975,Winter,1974-12-04,43658,1805,67.7696410205901,NA,NA
1975,Winter,1974-12-05,48172,1207,65.9173867944898,NA,NA
1975,Winter,1974-12-06,51882,1216,59.4243819333667,NA,NA
1975,Winter,1974-12-07,49211,2293,57.5777828478879,NA,NA
1975,Winter,1974-12-08,34477,3573,58.1778028218183,NA,NA
1975,Winter,1974-12-09,32969,2662,59.0051389322938,NA,NA
1975,Winter,1974-12-10,31174,3230,60.9146975182007,NA,NA
1975,Winter,1974-12-11,30556,1940,62.6620736128599,NA,NA
1975,Winter,1974-12-12,30064,63,62.2633612830585,NA,NA
1975,Winter,1974-12-13,25930,3157,62.5823231606697,NA,NA
1975,Winter,1974-12-14,25143,3320,60.8238376274559,NA,NA
1975,Winter,1974-12-15,22948,4521,61.2074717515321,NA,NA
1975,Winter,1974-12-16,25331,1721,60.3299105701184,NA,NA
1975,Winter,1974-12-17,22196,4132,59.959051092839,NA,NA
1975,Winter,1974-12-18,22015,3165,60.7848607071614,NA,NA
1975,Winter,1974-12-19,22130,2528,61.3921580930173,NA,NA
1975,Winter,1974-12-20,21502,2333,62.0598071908663,NA,NA
1975,Winter,1974-12-21,19315,3693,64.2969590397003,NA,NA
1975,Winter,1974-12-22,18085,4272,66.8520483039368,NA,NA
1975,Winter,1974-12-23,17529,4120,67.7204063695073,NA,NA
1975,Winter,1974-12-24,17889,3100,67.8448551348937,NA,NA
1975,Winter,1974-12-25,17494,3548,71.9914795481798,NA,NA
1975,Winter,1974-12-26,17581,3523,73.6903508010944,NA,NA
1975,Winter,1974-12-27,17265,3348,71.3369825310292,NA,NA
1975,Winter,1974-12-28,22194,3243,76.2672514823271,NA,NA
1975,Winter,1974-12-29,24925,3121,75.1818152212926,NA,NA
1975,Winter,1974-12-30,28490,2963,72.8701768381404,NA,NA
1975,Winter,1974-12-31,28463,1708,69.7768727245455,NA,NA
1975,Winter,1975-01-01,25737,2064,68.2620947751845,NA,NA
1975,Winter,1975-01-02,21258,2267,67.5247039063458,NA,NA
1975,Winter,1975-01-03,19031,2631,67.0176888853233,NA,NA
